Destination,Value,Fiscal Year
Mars,0,1960
Venus (nominal $),0,1960
Mars (nominal $),0,1960
Mars Data Analysis,,1960
Mars Exploration Program,,1960
Mercury,0,1960
Outer Planets,0,1960
Outer Planets Program,,1960
Pioneer Venus,,1960
Small Bodies,0,1960
The Moon,255,1960
Venus,0,1960
Mars,0,1961
Venus (nominal $),0,1961
Mars (nominal $),0,1961
Mars Data Analysis,,1961
Mars Exploration Program,,1961
Mercury,0,1961
Outer Planets,0,1961
Outer Planets Program,,1961
Pioneer Venus,,1961
Small Bodies,0,1961
The Moon,659,1961
Venus,0,1961
Mars,0,1962
Venus (nominal $),30.2,1962
Mars (nominal $),0,1962
Mars Data Analysis,,1962
Mars Exploration Program,,1962
Mercury,0,1962
Outer Planets,0,1962
Outer Planets Program,,1962
Pioneer Venus,,1962
Small Bodies,0,1962
The Moon,1218.9,1962
Venus,367.5,1962
Mars,430,1963
Venus (nominal $),7.7,1963
Mars (nominal $),36.6,1963
Mars Data Analysis,,1963
Mars Exploration Program,,1963
Mercury,0,1963
Outer Planets,0,1963
Outer Planets Program,,1963
Pioneer Venus,,1963
Small Bodies,0,1963
The Moon,1663.8,1963
Venus,90.4,1963
Mars,437.4,1964
Venus (nominal $),0,1964
Mars (nominal $),38.9,1964
Mars Data Analysis,,1964
Mars Exploration Program,,1964
Mercury,0,1964
Outer Planets,0,1964
Outer Planets Program,,1964
Pioneer Venus,,1964
Small Bodies,0,1964
The Moon,1720,1964
Venus,0,1964
Mars,176.1,1965
Venus (nominal $),0,1965
Mars (nominal $),16.2,1965
Mars Data Analysis,,1965
Mars Exploration Program,,1965
Mercury,0,1965
Outer Planets,0,1965
Outer Planets Program,,1965
Pioneer Venus,,1965
Small Bodies,0,1965
The Moon,2082,1965
Venus,0,1965
Mars,23.9,1966
Venus (nominal $),25.4,1966
Mars (nominal $),2.3,1966
Mars Data Analysis,,1966
Mars Exploration Program,,1966
Mercury,0,1966
Outer Planets,0,1966
Outer Planets Program,,1966
Pioneer Venus,,1966
Small Bodies,0,1966
The Moon,1981.6,1966
Venus,260.5,1966
Mars,304.4,1967
Venus (nominal $),21.1,1967
Mars (nominal $),31.1,1967
Mars Data Analysis,,1967
Mars Exploration Program,,1967
Mercury,0,1967
Outer Planets,0,1967
Outer Planets Program,,1967
Pioneer Venus,,1967
Small Bodies,0,1967
The Moon,1201,1967
Venus,205.9,1967
Mars,646.8,1968
Venus (nominal $),3.4,1968
Mars (nominal $),69.7,1968
Mars Data Analysis,,1968
Mars Exploration Program,,1968
Mercury,0,1968
Outer Planets,0,1968
Outer Planets Program,,1968
Pioneer Venus,,1968
Small Bodies,0,1968
The Moon,398.9,1968
Venus,31.5,1968
Mars,712.7,1969
Venus (nominal $),0,1969
Mars (nominal $),81.2,1969
Mars Data Analysis,,1969
Mars Exploration Program,,1969
Mercury,0,1969
Outer Planets,52.3,1969
Outer Planets Program,,1969
Pioneer Venus,,1969
Small Bodies,0,1969
The Moon,0,1969
Venus,0,1969
Mars,939.6,1970
Venus (nominal $),0,1970
Mars (nominal $),114.5,1970
Mars Data Analysis,,1970
Mars Exploration Program,,1970
Mercury,7.4,1970
Outer Planets,185.6,1970
Outer Planets Program,,1970
Pioneer Venus,,1970
Small Bodies,0,1970
The Moon,0,1970
Venus,0,1970
Mars,560.5,1971
Venus (nominal $),0,1971
Mars (nominal $),72.6,1971
Mars Data Analysis,,1971
Mars Exploration Program,,1971
Mercury,103.5,1971
Outer Planets,436.3,1971
Outer Planets Program,,1971
Pioneer Venus,,1971
Small Bodies,0,1971
The Moon,0,1971
Venus,0,1971
Mars,1485.3,1972
Venus (nominal $),0,1972
Mars (nominal $),203.3,1972
Mars Data Analysis,,1972
Mars Exploration Program,,1972
Mercury,382.8,1972
Outer Planets,205.5,1972
Outer Planets Program,,1972
Pioneer Venus,,1972
Small Bodies,0,1972
The Moon,0,1972
Venus,0,1972
Mars,1883,1973
Venus (nominal $),0,1973
Mars (nominal $),272.4,1973
Mars Data Analysis,,1973
Mars Exploration Program,,1973
Mercury,257.9,1973
Outer Planets,60.3,1973
Outer Planets Program,,1973
Pioneer Venus,,1973
Small Bodies,0,1973
The Moon,0,1973
Venus,0,1973
Mars,2021,1974
Venus (nominal $),0,1974
Mars (nominal $),313.4,1974
Mars Data Analysis,,1974
Mars Exploration Program,,1974
Mercury,72,1974
Outer Planets,334.5,1974
Outer Planets Program,,1974
Pioneer Venus,,1974
Small Bodies,0,1974
The Moon,0,1974
Venus,0,1974
Mars,554.1,1975
Venus (nominal $),27.3,1975
Mars (nominal $),95.2,1975
Mars Data Analysis,,1975
Mars Exploration Program,,1975
Mercury,31,1975
Outer Planets,476.5,1975
Outer Planets Program,,1975
Pioneer Venus,27.3,1975
Small Bodies,0,1975
The Moon,0,1975
Venus,159,1975
Mars,210.9,1976
Venus (nominal $),63,1976
Mars (nominal $),39.5,1976
Mars Data Analysis,,1976
Mars Exploration Program,,1976
Mercury,0,1976
Outer Planets,620.4,1976
Outer Planets Program,,1976
Pioneer Venus,63,1976
Small Bodies,0,1976
The Moon,0,1976
Venus,336.4,1976
Mars,122.4,1977
Venus (nominal $),65.4,1977
Mars (nominal $),25.4,1977
Mars Data Analysis,,1977
Mars Exploration Program,,1977
Mercury,0,1977
Outer Planets,299.1,1977
Outer Planets Program,,1977
Pioneer Venus,65.4,1977
Small Bodies,0,1977
The Moon,0,1977
Venus,314.9,1977
Mars,89.4,1978
Venus (nominal $),23.2,1978
Mars (nominal $),20,1978
Mars Data Analysis,,1978
Mars Exploration Program,,1978
Mercury,0,1978
Outer Planets,173.4,1978
Outer Planets Program,,1978
Pioneer Venus,23.2,1978
Small Bodies,0,1978
The Moon,0,1978
Venus,103.7,1978
Mars,20.4,1979
Venus (nominal $),9,1979
Mars (nominal $),5,1979
Mars Data Analysis,,1979
Mars Exploration Program,,1979
Mercury,0,1979
Outer Planets,401.2,1979
Outer Planets Program,,1979
Pioneer Venus,9,1979
Small Bodies,0,1979
The Moon,0,1979
Venus,36.7,1979
Mars,31.2,1980
Venus (nominal $),8.3,1980
Mars (nominal $),8.5,1980
Mars Data Analysis,6,1980
Mars Exploration Program,,1980
Mercury,0,1980
Outer Planets,508.6,1980
Outer Planets Program,,1980
Pioneer Venus,8.3,1980
Small Bodies,0,1980
The Moon,0,1980
Venus,30.4,1980
Mars,14.7,1981
Venus (nominal $),4.7,1981
Mars (nominal $),4.4,1981
Mars Data Analysis,4.4,1981
Mars Exploration Program,,1981
Mercury,0,1981
Outer Planets,315.1,1981
Outer Planets Program,,1981
Pioneer Venus,4.7,1981
Small Bodies,0,1981
The Moon,0,1981
Venus,15.7,1981
Mars,9,1982
Venus (nominal $),5.1,1982
Mars (nominal $),2.9,1982
