Fiscal Year,Request,Enacted,Actual,% U.S. Discretionary Expenditures,Notes,,,,,,,,,,,,,,,,,,,,,,
1959,$27.2,,$433.9,0.000%,all dollar amounts are in millions,,,,,,,,,,,,,,,,,,,,,,
1960,,,$652.3,0.000%,"""Actual"" is amount obligated",,,,,,,,,,,,,,,,,,,,,,
1961,$569.0,,"$1,150.8",0.000%,"""Enacted"" is congressional enacted level, if specified",,,,,,,,,,,,,,,,,,,,,,
1962,"$1,263.2",,"$1,967.0",0.22%,"""Request"" is Presidential Budget Request (PBR)",,,,,,,,,,,,,,,,,,,,,,
1963,"$3,213.2",,"$2,617.0",0.30%,"""w/DSN"" references period 2002 - 2007 when DSN costs were accounted within solar system budget",,,,,,,,,,,,,,,,,,,,,,
1964,"$3,626.3",,"$3,004.4",0.34%,Red = Republican Admin or Congress; Blue = Democratic Admin or Congress; Purple = Mixed control of Congress when legislation passed.,,,,,,,,,,,,,,,,,,,,,,
1965,"$3,265.6",,"$2,908.5",0.34%,0,,,,,,,,,,,,,,,,,,,,,,
1966,"$3,020.5",,"$2,874.7",0.31%,0,,,,,,,,,,,,,,,,,,,,,,
1967,"$2,549.2",,"$2,133.0",0.20%,0,,,,,,,,,,,,,,,,,,,,,,
1968,"$2,245.1",,"$1,455.2",0.13%,"Pioneer moved to ""Physics & Astronomy"" but included here",,,,,,,,,,,,,,,,,,,,,,
1969,"$1,052.2",,$889.3,0.09%,"Pioneer in ""Physics & Astronomy"" account but included here",,,,,,,,,,,,,,,,,,,,,,
1970,"$1,363.9",,"$1,333.3",0.14%,Pioneer returns to planetary account,,,,,,,,,,,,,,,,,,,,,,
1971,"$1,275.1",,"$1,331.0",0.14%,0,,,,,,,,,,,,,,,,,,,,,,
1972,"$2,486.2",,"$2,349.6",0.25%,,,,,,,,,,,,,,,,,,,,,,,
1973,"$2,561.5",,"$2,695.5",0.30%,0,,,,,,,,,,,,,,,,,,,,,,
1974,"$2,459.9",,"$2,942.1",0.33%,0,,,,,,,,,,,,,,,,,,,,,,
1975,"$1,656.1",,"$1,646.2",0.18%,0,,,,,,,,,,,,,,,,,,,,,,
