Value,Type,Fiscal Year,% U.S. Discretionary Expenditures
433.9,Actual,1959,0
27.2,Request,1959,0
652.3,Actual,1960,0
,Request,1960,0
1150.8,Actual,1961,0
569,Request,1961,0
1967,Actual,1962,0.0022
1263.2,Request,1962,0.0022
2617,Actual,1963,0.003
3213.2,Request,1963,0.003
3004.4,Actual,1964,0.0034
3626.3,Request,1964,0.0034
2908.5,Actual,1965,0.0034
3265.6,Request,1965,0.0034
2874.7,Actual,1966,0.0031
3020.5,Request,1966,0.0031
2133,Actual,1967,0.002
2549.2,Request,1967,0.002
1455.2,Actual,1968,0.0013
2245.1,Request,1968,0.0013
889.3,Actual,1969,0.0009
1052.2,Request,1969,0.0009
1333.3,Actual,1970,0.0014
1363.9,Request,1970,0.0014
1331,Actual,1971,0.0014
1275.1,Request,1971,0.0014
2349.6,Actual,1972,0.0025
2486.2,Request,1972,0.0025
2695.5,Actual,1973,0.003
2561.5,Request,1973,0.003
2942.1,Actual,1974,0.0033
2459.9,Request,1974,0.0033
1646.2,Actual,1975,0.0018
1656.1,Request,1975,0.0018
1559.8,Actual,1976,0.0017
1603.3,Request,1976,0.0017
1079.1,Actual,1977,0.0011
1052,Request,1977,0.0011
676.9,Actual,1978,0.0007
724.3,Request,1978,0.0007
744.7,Actual,1979,0.0008
763.9,Request,1979,0.0008
811,Actual,1980,0.0008
812.1,Request,1980,0.0008
588.3,Actual,1981,0.0006
601.7,Request,1981,0.0006
636.9,Actual,1982,0.0006
668.9,Request,1982,0.0006
526.9,Actual,1983,0.0005
451.6,Request,1983,0.0005
602.4,Actual,1984,0.0006
569.2,Request,1984,0.0006
779.6,Actual,1985,0.0007
768.9,Request,1985,0.0007
920.1,Actual,1986,0.0008
934.1,Request,1986,0.0008
917.6,Actual,1987,0.0008
935.4,Request,1987,0.0008
778,Actual,1988,0.0007
729.5,Request,1988,0.0007
954.9,Actual,1989,0.0009
1047.3,Request,1989,0.0009
1072.8,Actual,1990,0.001
1619.6,Request,1990,0.001
1239.3,Actual,1991,0.0011
1331.3,Request,1991,0.0011
1180.9,Actual,1992,0.0011
1552.2,Request,1992,0.0011
913.7,Actual,1993,0.0009
947.7,Request,1993,0.0009
1428.8,Actual,1994,0.0014
1183.7,Request,1994,0.0014
1488.7,Actual,1995,0.0015
1572.5,Request,1995,0.0015
1467.5,Actual,1996,0.0016
1456.9,Request,1996,0.0016
1175.1,Actual,1997,0.0012
1195.1,Request,1997,0.0012
1196.2,Actual,1998,0.0013
,Request,1998,0.0013
